Name,Team,Position,Count,Per,numbteams.Freq,posadj,WAR
JEFF SKINNER,CAROLINA HURRICANES,C,4210,0.00546,1,0.002897669,2.07
JOHN MITCHELL,COLORADO AVALANCHE,C,4665,0.00518,1,0.002617669,2.07
STEVEN STAMKOS,TAMPA BAY LIGHTNING,C,4493,0.00525,1,0.002687669,2.06
RYAN ELLIS,NASHVILLE PREDATORS,D,2837,0.00228,1,0.004239181,2.05
TEEMU SELANNE,ANAHEIM DUCKS,R,3592,0.0054,1,0.003346906,2.05
MICHAEL RYDER,NEW JERSEY DEVILS,R,3485,0.00547,3,0.003416906,2.04
RYAN O'REILLY,COLORADO AVALANCHE,C,3925,0.00558,1,0.003017669,2.03
JAROME IGINLA,BOSTON BRUINS,R,4648,0.00457,3,0.002516906,2.01
OLLI JOKINEN,WINNIPEG JETS,C,5561,0.00467,1,0.002107669,2.01
DAVID MOSS,PHOENIX COYOTES,R,3635,0.00526,1,0.003206906,2
JORDAN STAAL,CAROLINA HURRICANES,C,6735,0.00429,1,0.001727669,2
RYAN SUTER,MINNESOTA WILD,D,5966,-0.00004,1,0.001919181,1.98
BEN LOVEJOY,ANAHEIM DUCKS,D,3897,0.00096,2,0.002919181,1.97
TYLER KENNEDY,SAN JOSE SHARKS,C,3270,0.00602,2,0.003457669,1.96
ERIC FEHR,WASHINGTON CAPITALS,R,3079,0.00571,1,0.003656906,1.95
CLAUDE GIROUX,PHILADELPHIA FLYERS,R,7097,0.00359,1,0.001536906,1.91
PAUL STASTNY,COLORADO AVALANCHE,C,5144,0.00469,1,0.002127669,1.91
SAMI VATANEN,ANAHEIM DUCKS,D,1993,0.00352,1,0.005479181,1.91
DERICK BRASSARD,NEW YORK RANGERS,C,4705,0.00486,2,0.002297669,1.89
JARED SPURGEON,MINNESOTA WILD,D,4007,0.00071,1,0.002669181,1.88
TOMAS TATAR,DETROIT RED WINGS,C,1820,0.00843,1,0.005867669,1.88
BLAKE WHEELER,WINNIPEG JETS,R,4780,0.00428,1,0.002226906,1.87
JAMIE BENN,DALLAS STARS,L,5452,0.00378,1,0.001951328,1.87
MIKA ZIBANEJAD,OTTAWA SENATORS,C,3480,0.00562,1,0.003057669,1.87
CARL HAGELIN,NEW YORK RANGERS,L,4062,0.00443,1,0.002601328,1.86
TJ BRODIE,CALGARY FLAMES,D,5054,0.00013,1,0.002089181,1.86
GABRIEL LANDESKOG,COLORADO AVALANCHE,L,3799,0.00459,1,0.002761328,1.85
RADIM VRBATA,PHOENIX COYOTES,R,3692,0.00489,1,0.002836906,1.85
HENRIK SEDIN,VANCOUVER CANUCKS,C,6091,0.00425,1,0.001687669,1.83
JOHN-MICHAEL LILES,CAROLINA HURRICANES,D,2605,0.00196,3,0.003919181,1.82
ALEX GOLIGOSKI,DALLAS STARS,D,5569,-0.00014,1,0.001819181,1.81
DAVID KREJCI,BOSTON BRUINS,C,6182,0.00421,1,0.001647669,1.81
JIRI HUDLER,CALGARY FLAMES,C,3787,0.00523,1,0.002667669,1.8
MARIAN GABORIK,COLUMBUS BLUE JACKETS,R,3258,0.00515,2,0.003096906,1.8
TYLER ENNIS,BUFFALO SABRES,C,4339,0.00489,1,0.002327669,1.8
TYSON BARRIE,COLORADO AVALANCHE,D,3225,0.00115,2,0.003109181,1.79
DWIGHT KING,LOS ANGELES KINGS,L,3420,0.00474,1,0.002911328,1.78
ILYA KOVALCHUK,NEW JERSEY DEVILS,L,2274,0.00615,1,0.004321328,1.77
JOE PAVELSKI,SAN JOSE SHARKS,C,6291,0.00412,1,0.001557669,1.76
PAUL POSTMA,WINNIPEG JETS,D,1847,0.00335,1,0.005309181,1.76
ERIK JOHNSON,COLORADO AVALANCHE,D,4261,0.00031,1,0.002269181,1.75
TREVOR LEWIS,LOS ANGELES KINGS,C,3610,0.00524,1,0.002677669,1.75
SHANE DOAN,PHOENIX COYOTES,R,3913,0.00451,1,0.002456906,1.74
BRAYDEN SCHENN,PHILADELPHIA FLYERS,C,4618,0.00462,1,0.002057669,1.73
DANIEL ALFREDSSON,DETROIT RED WINGS,R,4138,0.00434,2,0.002286906,1.72
KEITH YANDLE,PHOENIX COYOTES,D,5604,-0.00029,1,0.001669181,1.71
BRAD BOYES,FLORIDA PANTHERS,R,3929,0.00443,2,0.002376906,1.7
MAREK ZIDLICKY,NEW JERSEY DEVILS,D,4460,0.00011,1,0.002069181,1.69
MARK GIORDANO,CALGARY FLAMES,D,4419,0.00013,1,0.002089181,1.69
VICTOR HEDMAN,TAMPA BAY LIGHTNING,D,4313,0.00016,1,0.002119181,1.68
TJ BRENNAN,FLORIDA PANTHERS,D,1574,0.00374,2,0.005699181,1.66
VLADIMIR TARASENKO,ST. LOUIS BLUES,R,2834,0.00523,1,0.003176906,1.66
BENOIT POULIOT,NEW YORK RANGERS,L,2731,0.00503,2,0.003201328,1.63
KEVIN SHATTENKIRK,ST. LOUIS BLUES,D,4536,-0.00002,1,0.001939181,1.63
PATRICK WIERCIOCH,OTTAWA SENATORS,D,3284,0.00072,1,0.002679181,1.63
RICK NASH,NEW YORK RANGERS,L,3937,0.00405,1,0.002221328,1.63
JONATHAN HUBERDEAU,FLORIDA PANTHERS,C,3854,0.00482,1,0.002257669,1.62
NIKITA NIKITIN,COLUMBUS BLUE JACKETS,D,3610,0.00045,1,0.002409181,1.62
TYLER BOZAK,TORONTO MAPLE LEAFS,C,6036,0.004,1,0.001437669,1.62
PATRIC HORNQVIST,NASHVILLE PREDATORS,R,2452,0.00558,1,0.003526906,1.61
PATRICK KANE,CHICAGO BLACKHAWKS,R,4578,0.00393,1,0.001876906,1.61
WAYNE SIMMONDS,PHILADELPHIA FLYERS,R,3903,0.00419,1,0.002136906,1.58
ZACH BOGOSIAN,WINNIPEG JETS,D,4027,0.00012,1,0.002079181,1.58
MIKAEL BACKLUND,CALGARY FLAMES,C,4001,0.00462,1,0.002057669,1.56
SETH JONES,NASHVILLE PREDATORS,D,1921,0.00234,1,0.004299181,1.56
STEVE BERNIER,NEW JERSEY DEVILS,R,2926,0.00485,1,0.002796906,1.56
PETER MUELLER,FLORIDA PANTHERS,C,2116,0.00641,1,0.003847669,1.55
JAMIE MCGINN,COLORADO AVALANCHE,L,3792,0.00392,1,0.002091328,1.52
BRANDON SAAD,CHICAGO BLACKHAWKS,L,3800,0.00384,1,0.002011328,1.49
JOE CORVO,OTTAWA SENATORS,D,3517,0.00023,2,0.002189181,1.49
MIKKEL BOEDKER,PHOENIX COYOTES,L,4191,0.00366,1,0.001831328,1.49
SAKU KOIVU,ANAHEIM DUCKS,C,4784,0.00412,1,0.001557669,1.46
JUSTIN FAULK,CAROLINA HURRICANES,D,5338,-0.00058,1,0.001379181,1.45
KYLE OKPOSO,NEW YORK ISLANDERS,R,4665,0.00364,1,0.001586906,1.45
JAMES WISNIEWSKI,COLUMBUS BLUE JACKETS,D,3601,0.00007,1,0.002029181,1.44
COLIN MCDONALD,NEW YORK ISLANDERS,R,2788,0.00461,1,0.002556906,1.42
SEAN COUTURIER,PHILADELPHIA FLYERS,C,4954,0.00399,1,0.001427669,1.41
DAMIEN BRUNNER,NEW JERSEY DEVILS,C,2688,0.00514,2,0.002577669,1.39
JORDAN NOLAN,LOS ANGELES KINGS,C,2293,0.00558,1,0.003017669,1.39
VALTTERI FILPPULA,TAMPA BAY LIGHTNING,C,4566,0.00408,2,0.001517669,1.39
SCOTT GOMEZ,FLORIDA PANTHERS,C,2826,0.00499,2,0.002427669,1.38
SHANE O'BRIEN,CALGARY FLAMES,D,2465,0.00081,2,0.002769181,1.38
TIM ERIXON,COLUMBUS BLUE JACKETS,D,1451,0.00262,1,0.004579181,1.36
CHRISTOPHER TANEV,VANCOUVER CANUCKS,D,3899,-0.00027,1,0.001689181,1.35
NATHAN HORTON,COLUMBUS BLUE JACKETS,R,2540,0.00466,2,0.002606906,1.35
DANIEL PAILLE,BOSTON BRUINS,L,2797,0.00417,1,0.002341328,1.34
JUSSI JOKINEN,PITTSBURGH PENGUINS,L,3930,0.00348,2,0.001651328,1.34
ALEX GALCHENYUK,MONTREAL CANADIENS,C,3581,0.00435,1,0.001787669,1.33
DMITRY KULIKOV,FLORIDA PANTHERS,D,3957,-0.00034,1,0.001619181,1.33
FEDOR TYUTIN,COLUMBUS BLUE JACKETS,D,4905,-0.00065,1,0.001309181,1.33
MATHIEU PERREAULT,ANAHEIM DUCKS,C,3679,0.00432,2,0.001757669,1.33
NICKLAS BACKSTROM,WASHINGTON CAPITALS,C,6433,0.00356,1,0.000997669,1.33
DAVID SCHLEMKO,PHOENIX COYOTES,D,2729,0.00036,1,0.002319181,1.32
DAVID CLARKSON,TORONTO MAPLE LEAFS,R,3899,0.00364,2,0.001586906,1.3
KEVIN BIEKSA,VANCOUVER CANUCKS,D,4748,-0.00066,1,0.001299181,1.3
KYLE QUINCEY,DETROIT RED WINGS,D,4075,-0.00043,1,0.001529181,1.3
LOUI ERIKSSON,BOSTON BRUINS,L,3770,0.00348,2,0.001651328,1.3
PHIL KESSEL,TORONTO MAPLE LEAFS,C,5846,0.00363,1,0.001067669,1.3
SERGEI GONCHAR,DALLAS STARS,D,5071,-0.00073,2,0.001229181,1.3
RUSLAN FEDOTENKO,PHILADELPHIA FLYERS,L,1949,0.00499,1,0.003161328,1.29
TAYLOR PYATT,PITTSBURGH PENGUINS,L,2844,0.00391,2,0.002081328,1.26
MIKHAIL GRABOVSKI,WASHINGTON CAPITALS,C,5414,0.00364,2,0.001077669,1.25
JAKE GARDINER,TORONTO MAPLE LEAFS,D,3394,-0.00027,1,0.001689181,1.24
JEFF CARTER,LOS ANGELES KINGS,C,5011,0.0037,1,0.001137669,1.24
CAM FOWLER,ANAHEIM DUCKS,D,4700,-0.00075,1,0.001209181,1.23
ALEXEI EMELIN,MONTREAL CANADIENS,D,3394,-0.00033,1,0.001629181,1.21
EVGENI MALKIN,PITTSBURGH PENGUINS,C,4095,0.00391,1,0.001347669,1.21
JUSTIN ABDELKADER,DETROIT RED WINGS,L,3677,0.00332,1,0.001491328,1.21
DUSTIN BROWN,LOS ANGELES KINGS,L,4712,0.00296,1,0.001131328,1.19
RYAN KESLER,VANCOUVER CANUCKS,C,4028,0.00389,1,0.001327669,1.19
DANNY BRIERE,PHILADELPHIA FLYERS,C,1938,0.0053,1,0.002737669,1.18
MATT READ,PHILADELPHIA FLYERS,R,3626,0.00351,1,0.001456906,1.18
RAY WHITNEY,DALLAS STARS,L,3127,0.00352,1,0.001691328,1.18
MIKE RIBEIRO,PHOENIX COYOTES,C,5709,0.00347,2,0.000907669,1.17
CASEY CIZIKAS,NEW YORK ISLANDERS,C,3918,0.00387,1,0.001307669,1.16
JONATHON BLUM,MINNESOTA WILD,D,1489,0.0015,2,0.003459181,1.16
MILAN MICHALEK,OTTAWA SENATORS,L,3152,0.00345,1,0.001621328,1.16
ALEXANDER STEEN,ST. LOUIS BLUES,C,3928,0.00384,1,0.001277669,1.15
KYLE PALMIERI,ANAHEIM DUCKS,C,2790,0.00438,2,0.001817669,1.15
MATTIAS EKHOLM,NASHVILLE PREDATORS,D,1188,0.0023,1,0.004259181,1.15
RICH PEVERLEY,DALLAS STARS,C,4382,0.00372,2,0.001157669,1.15
RYAN MURRAY,COLUMBUS BLUE JACKETS,D,1891,0.00072,1,0.002679181,1.15
ALEXANDRE BURROWS,VANCOUVER CANUCKS,L,3258,0.00335,1,0.001521328,1.14
RYAN MCDONAGH,NEW YORK RANGERS,D,6285,-0.00117,1,0.000789181,1.14
KEVIN PORTER,BUFFALO SABRES,C,1739,0.00536,1,0.002797669,1.13
TOBIAS ENSTROM,WINNIPEG JETS,D,3764,-0.00066,1,0.001299181,1.13
BOBBY SANGUINETTI,CAROLINA HURRICANES,D,1859,0.00063,1,0.002589181,1.12
DAVID LEGWAND,NASHVILLE PREDATORS,C,5196,0.00347,1,0.000907669,1.11
ERIC GRYBA,OTTAWA SENATORS,D,3146,-0.00047,1,0.001489181,1.1
ANDREW SHAW,CHICAGO BLACKHAWKS,C,4574,0.00355,1,0.000987669,1.08
MATT MOULSON,BUFFALO SABRES,L,4054,0.00292,2,0.001091328,1.07
PA PARENTEAU,COLORADO AVALANCHE,R,4068,0.00314,1,0.001086906,1.07
DAVID PERRON,EDMONTON OILERS,L,4223,0.00285,2,0.001021328,1.06
JAMES NEAL,PITTSBURGH PENGUINS,L,3052,0.00324,1,0.001411328,1.06
JOE VITALE,PITTSBURGH PENGUINS,C,2542,0.00428,1,0.001717669,1.06
RICHARD PANIK,TAMPA BAY LIGHTNING,R,1816,0.00444,1,0.002386906,1.06
RYAN CARTER,NEW JERSEY DEVILS,C,2260,0.0045,1,0.001937669,1.06
DANY HEATLEY,MINNESOTA WILD,L,3388,0.00308,1,0.001251328,1.05
PAUL RANGER,TORONTO MAPLE LEAFS,D,1674,0.00061,1,0.002569181,1.05
VINNY PROSPAL,COLUMBUS BLUE JACKETS,L,2089,0.00388,1,0.002051328,1.05
BRYAN LITTLE,WINNIPEG JETS,R,6579,0.00269,1,0.000636906,1.04
MARCUS FOLIGNO,BUFFALO SABRES,L,3268,0.00309,1,0.001261328,1.03
TOREY KRUG,BOSTON BRUINS,D,2031,0.00008,1,0.002039181,1.03
ERIK COLE,DALLAS STARS,L,4061,0.00283,2,0.001001328,1.02
NATE THOMPSON,TAMPA BAY LIGHTNING,C,4097,0.00354,1,0.000977669,1.02
MARC-ANDRE BERGERON,CAROLINA HURRICANES,D,1043,0.00185,2,0.003809181,1.01
ALEX TANGUAY,COLORADO AVALANCHE,L,2743,0.00324,2,0.001411328,1
BRIAN BOYLE,NEW YORK RANGERS,C,4168,0.0035,1,0.000937669,1
COLIN WILSON,NASHVILLE PREDATORS,C,2538,0.00409,1,0.001527669,1
CURTIS GLENCROSS,CALGARY FLAMES,L,2877,0.00318,1,0.001351328,1
JACK JOHNSON,COLUMBUS BLUE JACKETS,D,5141,-0.00121,1,0.000749181,1
KEITH BALLARD,MINNESOTA WILD,D,2474,-0.00038,2,0.001579181,1
VERNON FIDDLER,DALLAS STARS,L,4051,0.00277,1,0.000941328,0.99
MARTIN ST. LOUIS,TAMPA BAY LIGHTNING,R,1372,0.00475,1,0.002696906,0.98
NIK ANTROPOV,WINNIPEG JETS,C,2355,0.00413,1,0.001567669,0.98
SVEN BAERTSCHI,CALGARY FLAMES,L,1627,0.00413,1,0.002301328,0.98
ALEXANDER EDLER,VANCOUVER CANUCKS,D,4521,-0.00116,1,0.000799181,0.97
BRENDAN GALLAGHER,MONTREAL CANADIENS,R,3874,0.003,2,0.000946906,0.97
HENRIK TALLINDER,BUFFALO SABRES,D,2415,-0.00044,2,0.001519181,0.97
KRIS RUSSELL,CALGARY FLAMES,D,3113,-0.0008,2,0.001159181,0.97
MARK OLVER,COLORADO AVALANCHE,C,1187,0.00566,1,0.003097669,0.97
STEFAN ELLIOTT,COLORADO AVALANCHE,D,833,0.00238,1,0.004339181,0.97
JASON DEMERS,SAN JOSE SHARKS,D,3347,-0.0009,1,0.001059181,0.96
ANDREW COGLIANO,ANAHEIM DUCKS,C,3743,0.00349,1,0.000927669,0.95
DREW DOUGHTY,LOS ANGELES KINGS,D,6660,-0.00143,1,0.000529181,0.95
FRANCIS BOUILLON,MONTREAL CANADIENS,D,4185,-0.00113,1,0.000829181,0.95
MARTIN HAVLAT,SAN JOSE SHARKS,R,1905,0.00388,1,0.001826906,0.95
MATT CALVERT,COLUMBUS BLUE JACKETS,L,2276,0.00336,1,0.001531328,0.95
EVANDER KANE,WINNIPEG JETS,L,4906,0.00252,1,0.000691328,0.94
MATT DUCHENE,COLORADO AVALANCHE,C,5967,0.00313,1,0.000567669,0.94
RYAN SMYTH,EDMONTON OILERS,L,3828,0.00273,1,0.000901328,0.94
NAIL YAKUPOV,EDMONTON OILERS,R,3635,0.00296,1,0.000906906,0.93
ANTOINE ROUSSEL,DALLAS STARS,L,2858,0.00298,2,0.001151328,0.92
CORY CONACHER,OTTAWA SENATORS,C,3282,0.00355,2,0.000987669,0.92
JORDIE BENN,DALLAS STARS,D,3283,-0.00097,2,0.000989181,0.92
RYANE CLOWE,NEW JERSEY DEVILS,L,2471,0.00315,3,0.001321328,0.92
GRANT CLITSOME,WINNIPEG JETS,D,4009,-0.00117,1,0.000789181,0.91
JOHN CARLSON,WASHINGTON CAPITALS,D,5749,-0.00141,1,0.000549181,0.91
CHRIS BOURQUE,BOSTON BRUINS,L,619,0.00683,1,0.005001328,0.9
HAMPUS LINDHOLM,ANAHEIM DUCKS,D,2010,-0.00043,1,0.001529181,0.9
MARK PYSYK,BUFFALO SABRES,D,2310,-0.0006,2,0.001359181,0.9
MIKE RUPP,MINNESOTA WILD,C,1054,0.0055,2,0.002937669,0.9
JAY BEAGLE,WASHINGTON CAPITALS,C,3062,0.00354,1,0.000977669,0.89
MARTIN HANZAL,PHOENIX COYOTES,C,5327,0.00313,1,0.000567669,0.89
PIERRE-MARC BOUCHARD,NEW YORK ISLANDERS,C,2542,0.00374,2,0.001177669,0.89
MARC-EDOUARD VLASIC,SAN JOSE SHARKS,D,5312,-0.0014,1,0.000559181,0.88
AARON PALUSHAJ,CAROLINA HURRICANES,R,852,0.00543,2,0.003376906,0.87
ALEXANDER SEMIN,CAROLINA HURRICANES,R,4596,0.00267,1,0.000616906,0.87
ANDREI LOKTIONOV,NEW JERSEY DEVILS,C,2345,0.0038,1,0.001237669,0.87
JAMIE MCBAIN,BUFFALO SABRES,D,3675,-0.00117,2,0.000789181,0.87
KEITH AUCOIN,NEW YORK ISLANDERS,C,1879,0.00407,1,0.001507669,0.87
RYAN NUGENT-HOPKINS,EDMONTON OILERS,C,5660,0.00307,1,0.000507669,0.87
ANTON STRALMAN,NEW YORK RANGERS,D,4673,-0.00136,1,0.000599181,0.86
JORDAN LEOPOLD,ST. LOUIS BLUES,D,2766,-0.00095,2,0.001009181,0.86
VIKTOR STALBERG,NASHVILLE PREDATORS,L,3120,0.00273,2,0.000901328,0.86
MATS ZUCCARELLO,NEW YORK RANGERS,C,2608,0.00359,1,0.001027669,0.85
MORGAN RIELLY,TORONTO MAPLE LEAFS,D,1980,-0.0006,1,0.001359181,0.85
ANDY GREENE,NEW JERSEY DEVILS,D,4732,-0.0014,1,0.000559181,0.84
BRANDON SUTTER,PITTSBURGH PENGUINS,C,4867,0.00311,1,0.000547669,0.84
MARTIN ERAT,WASHINGTON CAPITALS,R,3575,0.00279,2,0.000736906,0.84
NINO NIEDERREITER,MINNESOTA WILD,R,1426,0.0039,1,0.001846906,0.84
TJ GALIARDI,CALGARY FLAMES,L,2809,0.00275,2,0.000921328,0.83
TOMAS KUNDRATEK,WASHINGTON CAPITALS,D,1288,0.00003,1,0.001989181,0.83
WADE REDDEN,BOSTON BRUINS,D,1194,0.00021,2,0.002169181,0.83
JORDIN TOOTOO,DETROIT RED WINGS,R,1298,0.00398,1,0.001926906,0.82
RYAN MURPHY,CAROLINA HURRICANES,D,1911,-0.00068,1,0.001279181,0.82
JACOB TROUBA,WINNIPEG JETS,D,1456,-0.00033,1,0.001629181,0.81
JAY BOUWMEESTER,ST. LOUIS BLUES,D,5280,-0.0015,2,0.000459181,0.81
DANNY DEKEYSER,DETROIT RED WINGS,D,1936,-0.00075,1,0.001209181,0.8
JOHN MCCARTHY,SAN JOSE SHARKS,L,882,0.00448,1,0.002651328,0.8
MIKE SANTORELLI,VANCOUVER CANUCKS,C,3477,0.00324,3,0.000677669,0.8
CODY HODGSON,BUFFALO SABRES,C,4972,0.00301,1,0.000447669,0.79
CRAIG SMITH,NASHVILLE PREDATORS,C,3257,0.00325,1,0.000687669,0.79
MICHAEL KOSTKA,CHICAGO BLACKHAWKS,D,2901,-0.00118,2,0.000779181,0.79
TOMAS HERTL,SAN JOSE SHARKS,C,1359,0.00422,1,0.001657669,0.79
WOJTEK WOLSKI,WASHINGTON CAPITALS,L,1096,0.00389,1,0.002061328,0.79
ANTOINE VERMETTE,PHOENIX COYOTES,C,6135,0.00291,1,0.000347669,0.78
FRANCOIS BEAUCHEMIN,ANAHEIM DUCKS,D,5226,-0.00155,1,0.000409181,0.78
GUSTAV NYQUIST,DETROIT RED WINGS,C,1521,0.00397,1,0.001407669,0.78
IAN WHITE,DETROIT RED WINGS,D,1297,-0.0003,1,0.001659181,0.78
MATT DONOVAN,NEW YORK ISLANDERS,D,1107,-0.00003,1,0.001929181,0.78
RYAN JOHANSEN,COLUMBUS BLUE JACKETS,C,4552,0.00304,1,0.000477669,0.78
ZACH REDMOND,WINNIPEG JETS,D,558,0.00188,1,0.003839181,0.78
JASON ZUCKER,MINNESOTA WILD,L,1155,0.00366,1,0.001831328,0.77
MIKE GREEN,WASHINGTON CAPITALS,D,4875,-0.00153,1,0.000429181,0.77
VALERI NICHUSHKIN,DALLAS STARS,R,1604,0.00334,1,0.001286906,0.77
ANDRE BENOIT,COLORADO AVALANCHE,D,3828,-0.00146,2,0.000499181,0.75
NICK BJUGSTAD,FLORIDA PANTHERS,C,2489,0.00335,1,0.000787669,0.75
NICK HOLDEN,COLORADO AVALANCHE,D,841,0.00037,2,0.002329181,0.75
ONDREJ PALAT,TAMPA BAY LIGHTNING,L,2046,0.00276,2,0.000931328,0.75
SIDNEY CROSBY,PITTSBURGH PENGUINS,C,6192,0.00288,1,0.000317669,0.75
ALEXANDER SULZER,BUFFALO SABRES,D,1488,-0.00069,1,0.001269181,0.74
